Frame,EAR_Avg,Classification
Frame6,0.31158293539433257,0
Frame7,0.33019023141114623,0
Frame8,0.30002451560656485,0
Frame9,0.2950112439053675,0
Frame10,0.30401176904141813,0
Frame11,0.30963333109331126,0
Frame12,0.3062954994444559,0
Frame13,0.3314914256716044,0
Frame14,0.32945000806419966,0
Frame15,0.3321373834996386,0
Frame16,0.3202076189968396,0
Frame17,0.327494555165889,0
Frame18,0.3208426733728975,0
Frame19,0.31025392584042377,0
Frame20,0.32650069370717283,0
Frame21,0.3535251658279549,0
Frame22,0.32308987886381774,0
Frame23,0.320222078625785,0
Frame24,0.3300681508272194,0
Frame25,0.30040096987038567,0
Frame26,0.3504489229619526,0
Frame27,0.3090281054569854,0
Frame28,0.33299238441507484,0
Frame29,0.33992868265759923,0
Frame30,0.3208282137439521,0
Frame31,0.3300681508272194,0
Frame32,0.3165180812928662,0
Frame33,0.3503666929155075,0
Frame34,0.33010971653817317,0
Frame35,0.32483954387861286,0
Frame36,0.330053691198274,0
Frame37,0.34463883499309456,0
Frame38,0.32400055155497565,0
Frame39,0.3499260983377963,0
Frame40,0.32945000806419966,0
Frame41,0.32943554843525424,0
Frame42,0.3103417459001076,0
Frame43,0.3300681508272194,0
Frame44,0.3333333333333333,0
Frame45,0.34366909546456637,0
Frame46,0.330053691198274,0
Frame47,0.3399142230286539,0
Frame48,0.3080135661523749,0
Frame49,0.35555608454664345,0
Frame50,0.3208426733728975,0
Frame51,0.3165180812928662,0
Frame52,0.31098691843969484,0
Frame53,0.3146833152841576,0
Frame54,0.3407104717154996,0
Frame55,0.3103272862711622,0
Frame56,0.3300681508272194,0
Frame57,0.320222078625785,0
Frame58,0.3195750166048744,0
Frame59,0.30973372130061716,0
Frame60,0.3329359510652522,0
Frame61,0.31098691843969484,0
Frame62,0.3301217241830259,0
Frame63,0.32955762901918106,0
Frame64,0.3208426733728975,0
Frame65,0.30407001467276695,0
Frame66,0.3097481809295626,0
Frame67,0.3400898769683871,0
Frame68,0.3236879683583269,0
Frame69,0.3189568738418546,0
Frame70,0.29978037512327316,0
Frame71,0.3109478810182747,0
Frame72,0.31028130259606307,0
Frame73,0.31897611036797724,0
Frame74,0.33418710191686163,0
Frame75,0.3103518640636369,0
Frame76,0.3399142230286539,0
Frame77,0.33413915850605735,0
Frame78,0.3366237781809936,0
Frame79,0.3206881837908213,0
Frame80,0.3230754192348723,0
Frame81,0.31098691843969484,0
Frame82,0.3400384849230424,0
Frame83,0.36197846837730596,0
Frame84,0.3334649904031384,0
Frame85,0.330727859301193,0
Frame86,0.3504489229619526,0
Frame87,0.3300681508272194,0
Frame88,0.3261197360767527,0
Frame89,0.3035697170796956,0
Frame90,0.35619959482050445,0
Frame91,0.32550159331373296,0
Frame92,0.3567495010290349,0
Frame93,0.3268619527739238,0
Frame94,0.3307423189301384,0
Frame95,0.3307423189301384,0
Frame96,0.3307423189301384,0
Frame97,0.29703576146589095,0
Frame98,0.29348126714029316,0
Frame99,0.30351215846526103,0
Frame100,0.3164531324824678,0
Frame101,0.3058034861765817,0
Frame102,0.32265464546819667,0
Frame103,0.2997775761601086,0
Frame104,0.3214050329771512,0
Frame105,0.3271196203879865,0
Frame106,0.3172053246787287,0
Frame107,0.3047296221277418,0
Frame108,0.3300681508272194,0
Frame109,0.3072993086274055,0
Frame110,0.32299832345459145,0
Frame111,0.3035711856602128,0
Frame112,0.3090281054569854,0
Frame113,0.3373607394607958,0
Frame114,0.3300681508272194,0
Frame115,0.3300681508272194,0
Frame116,0.3476499699479561,0
Frame117,0.3196624896854864,0
Frame118,0.2466951640540921,0
Frame119,0.34003630361258064,0
Frame120,0.2707569412799705,0
Frame121,0.28136659262594976,0
Frame122,0.251176670253739,0
Frame123,0.24619581941231303,0
Frame124,0.29703576146589095,0
Frame125,0.27194394848962555,0
Frame126,0.2691401252047537,0
Frame127,0.2907394355553781,0
Frame128,0.28674034134742343,0
Frame129,0.3132088280365162,0
Frame130,0.2925119613713105,0
Frame131,0.2870676086805297,0
Frame132,0.28667787510128484,0
Frame133,0.3028011918584709,0
Frame134,0.2953780801955386,0
Frame135,0.29637709647253385,0
Frame136,0.28559504071368513,0
Frame137,0.2993785787868305,0
Frame138,0.27609990808001605,0
Frame139,0.2956661255561086,0
Frame140,0.29361010975735174,0
Frame141,0.2999460278365981,0
Frame142,0.2881571709610162,0
Frame143,0.30585316125329365,0
Frame144,0.30170260266865523,0
Frame145,0.32982926490981324,0
Frame146,0.327494555165889,0
Frame147,0.31752640238052776,0
Frame148,0.3090281054569854,0
Frame149,0.30638627324116563,0
Frame150,0.2698485400115501,0
Frame151,0.30797973336968465,0
Frame152,0.3004614131744302,0
Frame153,0.3031616076771966,0
Frame154,0.3052599432618205,0
Frame155,0.3261341957056981,0
Frame156,0.31753255802739433,0
Frame157,0.29556029633126,0
Frame158,0.3255693966284072,0
